デスノート
ハイキュー!! セカンドシーズン
ブラック・ブレット　BLACK BULLET　［黒の銃弾］
マギ The labyrinth of magic
ヴァイオレット・エヴァーガーデン
青春ブタ野郎はバニーガール先輩の夢を見ない
バカとテストと召喚獣
ココロコネクト
小林さんちのメイドラゴン
これはゾンビですか?
メイドインアビス
おおかみこどもの雨と雪
スクールデイズ
君に届け
監獄学園〈プリズンスクール〉
Fate/stay night [Unlimited Blade Works] 2nd シーズン
AKIRA（アキラ）
賭ケグルイ
蛍火の杜へ
魔法科高校の劣等生
ゼロの使い魔 ～双月の騎士～
N・H・Kにようこそ！
男子高校生の日常
暗殺教室　第２期
涼宮ハルヒの憂鬱
ゴールデンタイム
盾の勇者の成り上がり
ダーリン・イン・ザ・フランキス
ナルト- 疾風伝
サマーウォーズ
ヴァンパイア騎士〈ナイト〉
涼宮ハルヒの消失
ワンパンマン
GATE（ゲート）自衛隊　彼の地にて、斯く戦えり
Hellsing [ヘルシング]
らき☆すた
灼眼のシャナ
IS 〈インフィニット・ストラトス〉
K
けいおん!!
アクセル・ワールド
僕は友達が少ない NEXT
クレイモア
東のエデン
モブサイコ100 II
ハイキュー!! 烏野高校 VS 白鳥沢学園高校
黒子のバスケ
猫物語（黒）
火垂るの墓
中二病でも恋がしたい！戀
落第騎士の英雄譚《キャバルリィ》
シュタインズ ゲート 横行跋扈のポリオマニア
ドクターストーン
山田くんと7人の魔女
GHOST IN THE SHELL（攻殻機動隊）
ジョジョの奇妙な冒険 スターダストクルセイダース
ばらかもん
さんかれあ
BLACK LAGOON The Second Barrage
甲鉄城のカバネリ
甘城ブリリアントパーク
文豪ストレイドッグス
ゼロの使い魔 ～三美姫（プリンセッセ）の輪舞（ロンド）～
オーバーロードⅡ
劇場版 シュタインズゲート 負荷領域のデジャヴ
グレート・ティーチャー・オニヅカ
-クラナド-　もうひとつの世界　智代編
キスシス
私がモテないのはどう考えてもお前らが悪い!
ブラッドラッド
アオハライド
ゴブリンスレイヤー
転生したらスライムだった件
食戟のソーマ 餐ノ皿
フルメタル・パニック！
トリニティセブン
下ネタという概念が存在しない退屈な世界
To LOVEる -とらぶる-
ニセコイ:
バクマン。
Free!
ちょびっツ
プラスティック・メモリーズ
僕のヒーローアカデミア
マギ The kingdom of magic
俺の妹がこんなに可愛いわけがない。
〈物語〉シリーズ セカンドシーズン
トライガン
神のみぞ知るセカイ II
幼女戦記
ようこそ実力至上主義の教室へ
終わりのセラフ　名古屋決戦編
魔女の宅急便
ハイスクールD×D BorN
ポケットモンスター
ジョジョの奇妙な冒険 スターダストクルセイダース
ドラゴンボールGT
問題児たちが異世界から来るそうですよ?
好きっていいなよ。
ヱヴァンゲリヲン新劇場版:序
ラブ★コン
狼と香辛料II
ひぐらしのなく頃に解
うさぎドロップ
PSYCHO-PASS サイコパス 2
七つの大罪 戒めの復活
まよチキ!
政宗くんのリベンジ
いちばんうしろの大魔王
デート・ア・ライブⅡ
灰と幻想のグリムガル
ロザリオとバンパイア Capu2
劇場版 鋼の錬金術師 シャンバラを征く者
HELLSING OVA
屍鬼
劇場版 空の境界 the Garden of sinners 第一章『俯瞰風景』
とある科学の超電磁砲
モンスター娘のいる日常
DARKER THAN BLACK 流星の双子
劇場版 ソードアート・オンライン -オーディナル・スケール-
アルドノア・ゼロ
六花の勇者
DEVILMAN crybaby
暁のヨナ
血界戦線
GATE（ゲート）自衛隊　彼の地にて、斯く戦えり　第2クール
生徒会役員共
ワーキング!!
そらのおとしもの
変態王子と笑わない猫。
フルーツバスケット
天空の城ラピュタ
オーバーロードⅢ
新世界より
エロマンガ先生
坂本ですが？
干物妹！うまるちゃん
ヱヴァンゲリヲン新劇場版:破
パプリカ
黒子のバスケ
ヴァンパイア騎士〈ナイト〉Guilty
クラナド　アフターストーリー　もうひとつの世界　杏編
日常
B型H系
かぐや様は告らせたい？～天才たちの恋愛頭脳戦～
キズナイーバー
ユーリ!!! on ICE
絶園のテンペスト
崖の上のポニョ
とある魔術の禁書目録Ⅱ
黒執事II
パーフェクトブルー
君に届け 2ND SEASON
ログ・ホライズン 第2シリーズ
ジョジョの奇妙な冒険 ダイヤモンドは砕けない
グリザイアの果実
冴えない彼女〈ヒロイン〉の育てかた
GOSICK -ゴシック-
ノーゲーム・ノーライフ ゼロ
バカとテストと召喚獣 にっ！
ヨスガノソラ In solitude, where we are least alone.
学戦都市アスタリスク
徒然チルドレン
ストライク・ザ・ブラッド
これはゾンビですか? OF THE DEAD
蟲師
劇場版 BLEACH MEMORIES OF NOBODY
新妹魔王の契約者〈テスタメント〉
ソードアート・オンライン アリシゼーション
デュラララ!!×２ 承
デジモンアドベンチャー
俺の彼女と幼なじみが修羅場すぎる
風のスティグマ
灼眼のシャナII –Second–
ヲタクに恋は難しい
妖狐×僕SS
剣風伝奇ベルセルク
ロクでなし魔術講師と禁忌教典
東京喰種トーキョーグール：re
ファイナルファンタジーVII アドベントチルドレン
フルメタル・パニック? ふもっふ
学園黙示録 HIGHSCHOOL OF THE DEAD ドリフターズ・オブ・ザ・デッド
未来日記リダイヤル
俺の脳内選択肢が、学園ラブコメを全力で邪魔している
シリアルエクスペリメンツレイン
犬夜叉
AIR
シェルター
風の谷のナウシカ
セキレイ
ディー・グレイマン
ゼロの使い魔F
エルゴプラクシー
orange（オレンジ）
食戟のソーマ 餐ノ皿 遠月列車篇
夏目友人帳
劇場版 空の境界 the Garden of sinners 第二章『殺人考察（前）』
エンジェルビーツ! アナザーエピローグ
青の祓魔師 京都不浄王篇
カオスヘッド
ヴィンランド・サガ
ゲーマーズ！
どろろ
神様はじめました
文豪ストレイドッグス
GANGSTA. ギャングスタ
七つの大罪 聖戦の予兆
凪のあすから
アブソリュート・デュオ
バクマン。2ndシーズン
黄昏乙女×アムネジア
俺物語!!
Fate/stay night [Unlimited Blade Works] プロローグ
クズの本懐
ラブライブ! School idol project
赤髪の白雪姫
Re：ゼロから始める異世界生活
ブレンド・S
緋弾のアリア
劇場版　NARUTO　大活劇！雪姫忍法帖だってばよ!!
花物語
FAIRY TAIL（フェアリーテイル）
斉木楠雄のΨ難
ココロコネクト ミチランダム
銀魂
憑物語
スペシャル・エー
ポケットモンスター ミュウツーの逆襲
神之塔 -Tower of God-
亜人
旦那が何を言っているかわからない件
傷物語〈Ⅰ鉄血篇〉
劇場版 空の境界 the Garden of sinners 第三章『痛覚残留』
ディーふらぐ！
僕らはみんな河合荘
カノン (2006)
あの夏で待ってる
フルメタル パニック！The Second Raid
ネトゲの嫁は女の子じゃないと思った？
カウボーイビバップ 天国の扉
ブラック★ロックシューター
まおゆう魔王勇者
ブラック★ロックシューター
神のみぞ知るセカイ 女神篇
劇場版 BLEACH The DiamondDust Rebellion もう一つの氷輪丸
劇場版 魔法少女まどか☆マギカ 叛逆の物語
だから僕は、Hができない。
リトルウィッチアカデミア
炎炎ノ消防隊
この素晴らしい世界に祝福を！ 第11話 この素晴らしいチヨーカーに祝福を！
91Days
パンドラハーツ
ソードアート・オンライン Extra Edition
メカクシティアクターズ
五等分の花嫁
エア・ギア
THE LAST NARUTO THE MOVIE
交響詩篇エウレカセブン
ゴールデンボーイ
エルフェンリート 通り雨にて 或いは、少女はいかにしてその心情に至ったか?（REGENSCHAUER）
スクールランブル
いぬやしき
ネト充のススメ
刀語
幽☆遊☆白書
もっと To LOVEる -とらぶる-
カードキャプターさくら
荒川アンダー ザ ブリッジ
モンスター
俺の妹がこんなに可愛いわけがない
るろうに剣心 -明治剣客浪漫譚-
にゃんこい！
異世界魔王と召喚少女の奴隷魔術
ストレンヂア -無皇刃譚-
ダンジョンに出会いを求めるのは間違っているだろうかII
シュタインズ・ゲート ゼロ
はぐれ勇者の鬼畜美学〈エステティカ〉
天気の子
翠星のガルガンティア
BEASTARS
べるぜバブ
劇場版 空の境界 the Garden of sinners 第四章『伽藍の洞』
DRIFTERS
さよなら絶望先生
がっこうぐらし！
カンピオーネ！ ～まつろわぬ神々と神殺しの魔王～
「C」 THE MONEY OF SOUL AND POSSIBILITY CONTROL
進撃の巨人ＯＡＤ
そらのおとしものf（フォルテ）
ラブひな
ワーキング’！！
魔法使いの嫁
無彩限のファントム・ワールド
進撃の巨人 悔いなき選択
ぐらんぶる
映画 けいおん！
デビル メイ クライ
バクマン。
フリージング
傷物語〈Ⅱ熱血篇〉
オオカミ少女と黒王子
アウトブレイク・カンパニー
劇場版 空の境界 the Garden of sinners 第五章『矛盾螺旋』
3月のライオン
NANA [ナナ]
シャーマンキング
東京レイヴンズ
けんぷファー
ちはやふる
IS〈インフィニット・ストラトス〉2
この素晴らしい世界に祝福を！紅伝説
アルドノア・ゼロ2ndシーズン
劇場版NARUTO -ナルト- 疾風伝
終物語
未確認で進行形
ベン・トー
SHUFFLE! (シャッフル!)
オオカミさんと七人の仲間たち
君の膵臓をたべたい
坂道のアポロン
ef - a tale of memories.
棺姫のチャイカ
コープスパーティー Tortured Souls -暴虐された魂の呪叫-
家庭教師ヒットマンREBORN!
ガンツ
デュラララ!!×２ 転
バケモノの子
グリザイアの楽園
極黒のブリュンヒルデ
アマガミSS
Darker than BLACK -黒の契約者 外伝
バッカーノ!
リトルウィッチアカデミア
響け！ユーフォニアム
遊☆戯☆王　デュエルモンスターズ
異能バトルは日常系のなかで
アホガール
REDLINE
ワンパンマン OVA「ロード・トゥ・ヒーロー」
瀬戸の花嫁
神撃のバハムート GENESIS
To LOVEる -とらぶる- ダークネス
デス・ビリヤード
NO.6［ナンバー・シックス］
ガヴリールドロップアウト
のだめカンタービレ
やはり俺の青春ラブコメはまちがっている。OVA「こちらとしても彼ら彼女らの行く末に幸多からんことを願わざるを得ない。」
BORUTO -NARUTO THE MOVIE-
借りぐらしのアリエッティ
僕のヒーローアカデミア THE MOVIE ～2人の英雄（ヒーロー）～
ジョジョの奇妙な冒険 黄金の風
ヒナまつり
傷物語〈Ⅲ冷血篇〉
あずまんが大王 THE ANIMATION
亜人ちゃんは語りたい
ゆるゆり
ヱヴァンゲリヲン新劇場版:Q
賭ケグルイ××
ソードアート・オンライン アリシゼーション War of Underworld
ノラガミ OAD
劇場版 BLEACH Fade to Black 君の名を呼ぶ
とある科学の超電磁砲S
HUNTER×HUNTER（ハンター×ハンター）
電波女と青春男
NEW GAME!
アフロサムライ
パンティ＆ストッキングwithガーターベルト
えむえむっ!
琴浦さん
ブラッドプラス
攻殻機動隊 STAND ALONE COMPLEX
続 夏目友人帳
GOD EATER
はじめの一歩 THE FIGHTING!
美少女戦士セーラームーン
這いよれ！ニャル子さん
耳をすませば
銀魂'
学戦都市アスタリスク
一週間フレンズ。
るろうに剣心―明治剣客浪漫譚―追憶編
のんのんびより
織田信奈の野望
機巧少女〈マシンドール〉は傷つかない
慎重勇者 ～この勇者が俺TUEEEくせに慎重すぎる～
猫の恩返し
ソードアート・オンライン オルタナティブ ガンゲイル・オンライン
撲殺天使ドクロちゃん
月がきれい
ハイキュー!! TO THE TOP
Free!-Eternal Summer-
劇場版 空の境界 the Garden of sinners 第六章『忘却録音』
はたらく細胞
劇場版 Fate/stay night UNLIMITED BLADE WORKS
ドメスティックな彼女
花咲くいろは
デュラララ!!
劇場版　NARUTO　大激突！幻の地底遺跡だってばよ
スキップ・ビート！
true tears
イタズラなKiss
たまこまーけっと
地獄少女
ポケットモンスター 幻のポケモンルギア爆誕
アナザー The Other -因果-
劇場版NARUTO-ナルト- 疾風伝 絆
ベック
彼女、お借りします
ヨルムンガンド
異世界はスマートフォンとともに。
だがしかし
デスマーチからはじまる異世界狂想曲
ドラゴンボール超（スーパー）
劇場版 空の境界 the Garden of sinners 第七章『殺人考察（後）』
精霊使いの剣舞〈ブレイドダンス〉
デジモンアドベンチャー０２
東京マグニチュード8.0
デトロイト・メタル・シティ
BLACK LAGOON Roberta's Blood Trail
けいおん! ライブハウス!
中二病でも恋がしたい! 煌めきの... 聖爆誕祭（スラップステック・ノエル）
THE GOD OF HIGH SCHOOL ゴッド・オブ・ハイスクール
かのこん
銀の匙
エンジェルビーツ
はじめてのギャル
マンガ家さんとアシスタントさんと THE ANIMATION
東のエデン 劇場版I The King of Eden
明日のよいち！
喰霊–零–
田中くんはいつもけだるげ
デュラララ!!×2 結
×××HOLiC（ホリック）
ブラックキャット
マイセルフ; ユアセルフ
セキレイ～Pure Engagement～
からかい上手の高木さん
妄想代理人
11eyes イレブンアイズ
あっちこっち
ローゼンメイデン
魔弾の王と戦姫 (ヴァナディース)
史上最強の弟子 ケンイチ
青春ブタ野郎はゆめみる少女の夢を見ない
らき☆すた OVA（オリジナルなビジュアルとアニメーション）
おまもりひまり
劇場版 NARUTO -ナルト- 大興奮!みかづき島のアニマル騒動だってばよ
ROAD TO NINJA NARUTO THE MOVIE
メガロボクス
ラブライブ! School idol project 2期
Phantom 〜Requiem for the Phantom〜
伝説の勇者の伝説
雲のむこう、約束の場所
クロノクルセイド
宇宙よりも遠い場所
東京ゴッドファーザーズ
アルスラーン戦記
ひぐらしのなく頃に礼
貧乏神が!
CØDE:BREAKER
ウルフズレイン
プリンセスラバー!
食戟のソーマ 神ノ皿
ほしのこえ
ポケットモンスター THE ORIGIN
魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～
おねがい☆ティーチャー
狼と香辛料II 狼と琥珀色の憂鬱
この素晴らしい世界に祝福を！2 この素晴らしい芸術に祝福を！
ポケットモンスター 結晶塔の帝王 ENTEI
ハイスクールD×D OVA
京喰種トーキョーグール：re 第2期
お兄ちゃんだけど愛さえあれば関係ないよねっ
輪るピングドラム
ウィッチクラフトワークス
SHIROBAKO
機動戦士ガンダム00
劇場版 クラナド
新世紀エヴァンゲリオン劇場版 シト新生
パパのいうことを聞きなさい！
劇場版 青の祓魔師（エクソシスト）
未来日記
勇者になれなかった俺はしぶしぶ就職を決意しました。
ダンスインザヴァンパイアバンド
斉木楠雄のΨ難 2
夏目友人帳 参
氷菓 持つべきものは
神様のメモ帳
グリザイアの迷宮 カプリスの繭0
黒執事 Book of Circus
DARKER THAN BLACK -黒の契約者- 桜の花の満開の下
新妹魔王の契約者 BURST
マギ シンドバッドの冒険
旦那が何を言っているかわからない件2スレ目
終末なにしてますか？忙しいですか？救ってもらっていいですか？
ワンピース　フィルム　ストロングワールド
おくさまが生徒会長！
Fate/Apocrypha
Dimension W
ピンポン THE ANIMATION
純情ロマンチカ
ReLIFE 完結編
シトラス
れでぃ×ばと!
赤髪の白雪姫
心が叫びたがってるんだ。
RAINBOW 二舎六房の七人
サカサマのパテマ
ゆるキャン△
ちはやふる 2
たまこラブストーリー
競女!!!!!!!!
逆境無頼カイジ Ultimate Survivor
スクールランブル 二学期
ゾンビランドサガ
俺の妹がこんなに可愛いわけがない。
ねじ巻き精霊戦記 天鏡のアルデラミン
To LOVEる -とらぶる-
真剣で私に恋しなさい！
銀魂' 延長戦
賢者の孫
ワンパンマン
美鳥の日々
Ｄ・Ｎ・ＡＮＧＥＬ
とらドラ！ 弁当の極意
Re:CREATORS 〈レクリエイターズ〉
灼眼のシャナIII –Final–
ツバサ・クロニクル
劇場版 サイコパス
風立ちぬ
悪魔のリドル
劇場版 あの日見た花の名前を僕達はまだ知らない。
生徒会の一存
ぬらりひょんの孫
CANAAN
ありふれた職業で世界最強
海月姫
紅の豚
ドラゴンボール改
ワーキング!!!
みなみけ
宝石の国
ドラゴンボールZ 神と神
劇場版 NARUTO-ナルト-疾風伝 ザ・ロストタワー
武装少女マキャヴェリズム
＋チック姉さん
やはり俺の青春ラブコメはまちがっている。完
ベルセルク 黄金時代篇Ⅰ 覇王の卵
亜人 第2クール
かりん
かんなぎ
ハマトラ THE ANIMATION
あそびあそばせ
ガンツ
最弱無敗の神装機竜《バハムート》
ゴーストハント
あかね色に染まる坂
3月のライオン 第2シリーズ
四畳半神話大系
キス×シス
対魔導学園35試験小隊
ガールズ&パンツァー
Fate/kaleid liner プリズマ☆イリヤ
異世界かるてっと
ペルソナ4アニメーション
まりあ†ほりっく
ナルト- 疾風伝 火の意志を継ぐ者
それでも世界は美しい
灰羽連盟
謎の彼女X
うみねこのなく頃に
デート・ア・ライブ DATE TO DATE
聖剣使いの禁呪詠唱〈ワールドブレイク〉
リトルバスターズ!
キルラキル 特別編
冴えない彼女〈ヒロイン〉の育てかた♭
夏目友人帳 肆
ハヤテのごとく！
劇場版 銀魂 完結篇 万事屋よ永遠なれ
ダンジョンに出会いを求めるのは間違っているだろうか外伝 ソード・オラトリア
ソードアート・オンライン アリシゼーション War of Underworld
神様はじめました◎
げんしけん
劇場版 BLEACH 地獄篇
マケン姫っ！
恋と嘘
ハイスクールD×Dスペシャル
電波的な彼女
ヘタリア Axis Powers
イヴの時間
生徒会役員共＊
テイルズ オブ ゼスティリア ザ クロス
終物語
ブラッドシー
銀魂°
めだかボックス
遊☆戯☆王
K RETURN OF KINGS
龍ヶ嬢七々々の埋蔵金
ゆるゆり♪♪
天上天下
棺姫のチャイカ AVENGING BATTLE
K MISSING KINGS
甘々と稲妻
劇場版「Fate/stay night [Heaven's Feel] Ⅰ.presage flower」
はじめの一歩 新シリーズ
ワンピース　フィルム　﻿Ｚ
神のみぞ知るセカイ 天理篇
恋愛暴君
聖痕のクェイサー
デジモンテイマーズ
僕は友達が少ない 第0語
この中に1人、妹がいる！
痛いのは嫌なので防御力に極振りしたいと思います。
コードギアス 亡国のアキト 第１章「翼竜は舞い降りた」
俺を好きなのはお前だけかよ
AMNESIA
セブンゴースト
全职高手
ハンドレッド
真月譚 月姫
劇場版 魔法少女まどか☆マギカ 始まりの物語
やはり俺の青春ラブコメはまちがっている. 続 きっと, 女の子はお砂糖とスパイスと素敵な何かでできている。
魔法使いの嫁 星待つひと
神さまのいない日曜日
のだめカンタービレ 巴里編
東のエデン 劇場版II Paradise Lost
ハチミツとクローバー
イノセンス
ダンガンロンパ3 -The End of 希望ヶ峰学園- 未来編
シュタインズ・ゲート境界面上のミッシングリンク-Divide By Zero-
私がモテてどうすんだ
僕等がいた
シドニアの騎士
桜Trick
鋼殻のレギオス
頭文字〈イニシャル〉D
恋と選挙とチョコレート
血界戦線 & BEYOND
スペース☆ダンディ
劇場版 FAIRY TAIL 鳳凰の巫女
サーバント×サービス
ディアーズ
ダーウィンズゲーム
劇場版NARUTO-ナルト- ブラッド・プリズン
バカとテストと召喚獣 ～祭～
ぼくたちは勉強ができない
ドラゴンクライシス!
荒川アンダー ザブリッジ×ブリッジ
銀の匙2ndシーズン
ハイスクールDxD HERO
ワンナウツ
ポケットモンスター セレビィ 時を越えた遭遇（であい）
機動戦士ガンダム00 セカンドシーズン
蟲師 続章
攻殻機動隊 S.A.C. 2nd GIG
君が望む永遠
ヨルムンガンド PERFECT ORDER
ドラゴンボールZ 燃えつきろ!!熱戦・烈戦・超激戦
乃木坂春香の秘密
劇場版 魔法少女まどか☆マギカ 永遠の物語
迷家-マヨイガ-
ベルセルク 黄金時代篇Ⅱ ドルドレイ攻略
となりの関くん
東京喰種 トーキョーグール【JACK】
フルーツバスケット 1st season
俺がお嬢様学校に『庶民サンプル』としてゲッツされた件
BLEACH Memories in the Rain
ef - a tale of melodies.
これはゾンビですか? OVA
ふらいんぐうぃっち
星空へ架かる橋
ディレクターズカット完全決着版 〜リライト
ポケットモンスター　アドバンスジェネレーション
デッドマン・ワンダーランド 赤いナイフ使い
ダンガンロンパ3 -The End of 希望ヶ峰学園- 絶望編
侵略!イカ娘
劇場版 境界の彼方 I'LL BE HERE 未来篇
星を追う子ども
レック
思い出のマーニー
実は私は
あそびにいくヨ!
ヤマトナデシコ七変化♥
撲殺天使ドクロちゃん2[セカンド]
機動戦士ガンダムSEED
リトルウィッチアカデミア 魔法仕掛けのパレード
僕は友達が少ない リレー小説は結末が半端ないL(゜□゜)」
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…
ホワイトアルバム2
百花繚乱 サムライガールズ
彼女と彼女の猫
Paradise kiss
ベルセルク 黄金時代篇Ⅲ 降臨
犬夜叉 完結編
十二大戦
劇場版 鋼の錬金術師 嘆きの丘(ミロス)の聖なる星
殺戮の天使
ノラガミ OAD
カーニバル・ファンタズム
純情ロマンチカ2(に)
BLEACH The Sealed Sword Frenzy
暦物語
アマガミSS+ plus
NEW GAME!!
世界一初恋 TV
櫻子さんの足下には死体が埋まっている
ああっ女神さまっ
ガンスリンガー・ガール
ファイナルファンタジーVII アドベントチルドレンコンプリート
グリーングリーン
妹さえいればいい。
DIABOLIK LOVERS
魔法戦争
さよならの朝に約束の花をかざろう
この美術部には問題がある！
キノの旅 -the Beautiful World-
聖剣の刀鍛冶（ブラックスミス）
トリニティ・ブラッド
トニカクカワイイ
ドッグデイズ
ZOMBIE-LOAN ゾンビローン
シーキューブ
文豪ストレイドッグス 第3期
中二病でも恋がしたい！Lite
異種族レビュアーズ
ロボティクス・ノーツ
ハイキュー!! TO THE TOP
這いよれ！ニャル子さん W
武装錬金
ベルセルク
フェアリーテイル OVA
Fate/Grand Order -First Order-
はんだくん
Mnemosyne－ムネモシュネの娘たち－
響け！ユーフォニアム2
LOVE STAGE!!
青春×機関銃
しゅごキャラ！
To LOVEる -とらぶる- ダークネス2nd
バンパイアハンターD
革命機ヴァルヴレイヴ
ドロヘドロ
ヴァイオレット・エヴァーガーデンきっと”恋”を知る日が来るのだろう
神のみぞ知るセカイ　４人とアイドル
ゼロから始める魔法の書
アルカナ・ファミリア －La storia della Arcana Famiglia－
艦隊これくしょん -艦これ-
ボールルームへようこそ
弱虫ペダル
風夏
のだめカンタービレ フィナーレ
うたの☆プリンスさまっ♪ マジLOVE1000%
マクロスF（フロンティア）
一騎当千
ドラゴンボールZ とびっきりの最強対最強
冴えない彼女の育てかた #0 「愛と青春のサービス回」
ローゼンメイデン トロイメント
BLOOD THE LAST VAMPIRE (ブラッド ザ ラスト ヴァンパイア)
星刻の竜騎士
ゲド戦記
空戦魔導士候補生の教官
TERRA FORMARS [テラフォーマーズ]
IS 〈インフィニット・ストラトス〉 アンコール『恋に焦がれる六重奏』
天元突破グレンラガン 螺巌篇
ましろ色シンフォニー -The color of lovers-
六畳間の侵略者！？
ストライクウィッチーズ
ご注文はうさぎですか？
デート・ア・ライブII 狂三スターフェスティバル
.hack//SIGN
けいおん!! 計画!
ニセコイ OAD
夢喰いメリー
TIGER & BUNNY （タイガー・アンド・バニー）
天元突破グレンラガン 紅蓮篇
のんのんびより りぴーと
ドラゴンボールZ 復活のフュージョン!!悟空とベジータ
Just Because!
×××HOLiC・継
昭和元禄落語心中
ドラゴンボールZ 地球まるごと超決戦
BANANA FISH
ラブ ひな Again
恋は雨上がりのように
デビルサバイバー２ THE ANIMATION
劇場版 銀魂 新訳紅桜篇
そらのおとしもの プロジェクト桃源郷[ピンク]
あきそら
美少女戦士セーラームーン R
つみきのいえ
千年女優
GIRLSブラボー first season
ドラゴンボールZ オラの悟飯をかえせッ!!
カラフル
ぬらりひょんの孫 千年魔京
B:The Beginning
半分の月がのぼる空
Pupa (ピューパ)
青の祓魔師(エクソシスト) クロの家出
デジモンアドベンチャー 劇場版
バジリスク 甲賀忍法帖
恋愛ラボ
GJ部
俗・さよなら絶望先生
東京喰種 トーキョーグール【PINTO】
ドラゴンボール超（スーパー） ブロリー
頭文字〈イニシャル〉D SECOND STAGE
精霊の守り人
君が主で執事が俺で
リトルバスターズ！～Refrain～
劇場版 そらのおとしもの 時計じかけの哀女神（エンジェロイド）
虚構推理
Charlotte（シャーロット）特別篇 強い者たち
ファイナルファンタジー
スラムダンク
デジモンフロンティア
彼氏彼女の事情
銀魂。
ノーゲーム・ノーライフ ミニ
ドラゴンボールZ 危険なふたり!超戦士はねむれない
鋼の錬金術師
少女終末旅行
ドラゴンボールZ 激突!!100億パワーの戦士たち
FORTUNE ARTERIAL 赤い約束
Fate/kaleid liner プリズマ☆イリヤ ツヴァイ!
ゴールデンカムイ
アスタロッテのおもちゃ！
小林さんちのメイドラゴン バレンタイン, そして温泉! (あまり期待しないでください)
ツバサ・クロニクル 第2シリーズ
LOVELESS
寄宿学校のジュリエット
地獄少女 二籠
戦国BASARA
薄桜鬼
LAST EXILE（ラストエグザイル）
コクリコ坂から
さんかれあ
コープスパーティー Missing Footage
蟲師 続章
いちご100%
カーニヴァル
RAIL WARS! [レールウォーズ]
七つの大罪 神々の逆鱗
新機動戦記ガンダムW
うたわれるもの
イヴの時間
ゼロの使い魔 ～三美姫（プリンセッセ）の輪舞（ロンド）～ 誘惑の砂浜
遊☆戯☆王　デュエルモンスターズ GX
ハチミツとクローバー II
隠の王
荒ぶる季節の乙女どもよ。
男子高校生の日常
滝隠れの死闘　オレが英雄だってばよ!
彼方のアストラ
TARI TARI
はじめの一歩 Rising
劇場版 カードキャプターさくら 封印されたカード
ロミオ×ジュリエット
ガッチャマン クラウズ
双星の陰陽師
繰繰れ！コックリさん
ダンジョンに出会いを求めるのは間違っているだろうかIII
のうりん
